system   I             system.c:245  al_install_system                [   0.00055] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:517  _al_score_display_settings       [   0.01139] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01141] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01143] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01145] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01147] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01149] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01151] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01153] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01155] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01157] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01160] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01162] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01165] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01166] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01173] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01175] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01178] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01179] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01182] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01184] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01186] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01188] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01190] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01192] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01194] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01196] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01198] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01200] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01203] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01204] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01207] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01209] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01211] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01213] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01217] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01218] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01221] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01223] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01225] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01227] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01229] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01231] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01234] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01235] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01238] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01240] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01242] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01244] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01247] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01248] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01251] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01253] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01255] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01257] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01259] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01261] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01263] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01266] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01269] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01270] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01273] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01274] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01277] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01279] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01281] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01283] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01285] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01287] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01289] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01291] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01293] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01295] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01297] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01299] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01301] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01303] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01305] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01307] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01310] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01312] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01315] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01317] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01319] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01322] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01326] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01327] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01331] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01334] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01336] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01338] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01340] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01342] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01344] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01346] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01349] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01350] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01353] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01355] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01357] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01361] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01363] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01367] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01369] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01371] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01373] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01375] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01377] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01386] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01388] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01390] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01392] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01395] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01396] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01399] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01400] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01403] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01405] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01407] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.01411] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.01445] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.01449] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.03460] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.03958] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.03962] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.03966] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.03972] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.03977] Returning d3d_display: 00AD5550
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03979] al_display=00AD5550
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.03981] al_display->vt=00AD5450
system   D            wsystem.c:674  maybe_parent_dir                 [   0.04012] Also searching D:\b\projektyprogramowanie\Boomanek\Bomb\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.04030] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.04032] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.09760] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.09775] Module "d3dx9_43.dll" loaded.
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.10614] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10636] Also searching D:\b\projektyprogramowanie\Boomanek\Bomb\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.10655] PathFindOnPath found: C:\WINDOWS\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.10658] Calling LoadLibrary C:\WINDOWS\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.10744] Loaded C:\WINDOWS\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.10753] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.12502] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.12755] Using DirectSound driver
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12809] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12813] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12815] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12816] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12818] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12820] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12821] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12823] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.12824] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.12826] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.12828] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.12830] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.12832] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.12847] added dtor for object 0505C018, func 0F1341E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.12973] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.12979] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.13117] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.13122] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13508] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13514] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13516] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13518] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13521] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13522] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13524] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13525] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13527] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.13529] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.13530] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.13532] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.13534] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.13552] added dtor for object 050AABB0, func 0F1341E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.13945] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.13951] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.14168] removed dtor for object 050AABB0
d3d      W         d3d_disp.cpp:2424 _al_d3d_destroy_bitmap           [   0.14172] d3d_destroy_bitmap: Release video texture failed.
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.14306] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.14312] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.14318] added dtor for object 0505B810, func 0F132563
dtor     D               dtor.c:184  _al_register_destructor          [   0.14324] added dtor for object 05FED458, func 0F132A31
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.14329] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.14333] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.14579] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.14584] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.14593] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.14602] added dtor for object 05FB7520, func 0F134AC5
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.14605] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.14607] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.14609] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.14731] added dtor for object 00A9E298, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14739] added dtor for object 050A5BF8, func 0F13250E
dtor     D               dtor.c:184  _al_register_destructor          [   0.14756] added dtor for object 00A9DD58, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14761] added dtor for object 050A7458, func 0F13250E
dtor     D               dtor.c:184  _al_register_destructor          [   0.14769] added dtor for object 00A9E658, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14773] added dtor for object 050A6558, func 0F13250E
dtor     D               dtor.c:184  _al_register_destructor          [   0.14781] added dtor for object 00A9DED8, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14786] added dtor for object 050A6FA8, func 0F13250E
dtor     D               dtor.c:184  _al_register_destructor          [   0.14794] added dtor for object 00A9E058, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14799] added dtor for object 050A5FB8, func 0F13250E
dtor     D               dtor.c:184  _al_register_destructor          [   0.14808] added dtor for object 00A9E418, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14813] added dtor for object 050A6288, func 0F13250E
dtor     D               dtor.c:184  _al_register_destructor          [   0.14820] added dtor for object 00A9D758, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14824] added dtor for object 050A7638, func 0F13250E
dtor     D               dtor.c:184  _al_register_destructor          [   0.14831] added dtor for object 00A9E598, func 0F1345BB
dtor     D               dtor.c:184  _al_register_destructor          [   0.14836] added dtor for object 050A6DC8, func 0F13250E
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14882] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14886] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14889] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14892] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14895] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14899] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14903] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14906] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.14909] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.14912] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.14915] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.14920] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.14924] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.14952] added dtor for object 050AABB0, func 0F1341E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.14984] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.14989] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15059] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15062] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15064] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15066] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15068] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15070] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15072] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15073] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15075] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.15077] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.15079] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.15081] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.15083] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15095] added dtor for object 050AB978, func 0F1341E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15111] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15114] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15173] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15176] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15178] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15180] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15181] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15183] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15184] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15186] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15188] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.15189] Alpha doesn't match
